serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
20;S52 Compressor V1 | Playing Card Deck Preserver;28;left;Gadgets;Boca Raton, FL;;Brian Patrick;['https://sense52.com/'];https://www.kickstarter.com/projects/1362120583/s52-compressor-v1-playing-card-deck-preserver?ref=discovery_category_newest&total_hits=335&category_id=337;Keep your Playing Cards in Fresh, Like-New Condition! Preserve Longevity and Performance with a Sleek, Professional, EDC Form-Factor.
21;Eventlee: all-in-one app for special event tracking, gifting;27;left;Apps;Green Bay, WI;;Aaron;[];https://www.kickstarter.com/projects/eventlee/eventlee-all-in-one-app-for-special-event-tracking-gifting?ref=discovery_category_newest&total_hits=335&category_id=332;Eventlee is a cutting-edge event management app designed to streamline your celebration planning and gift giving.
22;GHIS: Handmade Vertical Stand for Google Home & Nest Mini;28;left;Gadgets;Bologna, Italy;;Alessio Rocchi;['https://www.instagram.com/little.objects.for.huge.needs/', 'https://www.linkedin.com/in/alessiorocchiarchitetto/', 'https://www.facebook.com/lohn.digitalhandmade/', 'https://twitter.com/LOHNdesign'];https://www.kickstarter.com/projects/lohn/ghis-elevate-your-google-home-with-style-and-superior-sound?ref=discovery_category_newest&total_hits=335&category_id=337;Enhance Sound & Style with GHIS, the Italian Laser-Cut Wood Accessory for Google Smart Speaker. Choose from 30 hand-painted colors!
23;JelloWorld - Combat Misinformation;37;left;Software;Atlanta, GA;;JelloWorld;['https://www.getjelloworld.com/'];https://www.kickstarter.com/projects/getjelloworld/jelloworld-combat-misinformation?ref=discovery_category_newest&total_hits=335&category_id=51;Jello World offers an AI, Machine-Learning, and real human verified solution for combating misinformation.
24;Up your Garden Game with Aquor's Hose Reel and Spray Nozzle;38;left;Gadgets;Seattle, WA;;Aquor Water Systems;['http://www.aquorwatersystems.com/'];https://www.kickstarter.com/projects/aquorhosegear/up-your-garden-game-with-aquors-hose-reel-and-spray-nozzle?ref=discovery_category_newest&total_hits=335&category_id=337;Minimal design. Maximum impact. Every drop counts.
25;BYOU Impact for Street Children: A Life-Changing Mission;57;left;Apps;San Francisco, CA;;BYOU FOR IMPACT;['https://byou-app.com/pages/byou-for-impact-1', 'https://byouimpact.org/', 'https://www.motzheimdevelopment.com/'];https://www.kickstarter.com/projects/byouforimpact/byou-impact-for-street-children-a-life-changing-mission?ref=discovery_category_newest&total_hits=335&category_id=332;Your Contribution, Their Brighter Future
26;Sunaloo Beach Management;57;left;Web;Turin, Italy;;Cristina Trinchero;['https://vp-lab.it/'];https://www.kickstarter.com/projects/trincherocisritina/sunaloo-beach-management?ref=discovery_category_newest&total_hits=335&category_id=342;The platform revolutionizing beach management, making reservations and organization simple and global!
27;My Easy Plants: Swipe Your Way to a Safe, Thriving Landscape;27;left;Apps;Hollywood, CA;;Roy Lillywhite;['https://www.easyplants.us/', 'https://www.myeasyplants.com/'];https://www.kickstarter.com/projects/easyplants/my-easy-plants?ref=discovery_category_newest&total_hits=335&category_id=332;Measure plant growing light with Photone, then swipe to discover easy-to-grow, pet-safe plants that will thrive in your unique area
28;Contrast Checker;25;left;Software;Guelph, Canada;;Protocean;['https://protocean.com/'];https://www.kickstarter.com/projects/protocean/contrast-checker?ref=discovery_category_newest&total_hits=335&category_id=51;A colour contrast tool that removes the guesswork from selecting accessible color combinations.
29;E-pisteme Space: Immersive STEM kits on all things space;36;left;Space Exploration;Salamanca, Spain;;E-PISTEME;['https://e-pisteme.com/'];https://www.kickstarter.com/projects/1650060842/e-pisteme-space-immersive-stem-kits-on-all-things-space?ref=discovery_category_newest&total_hits=335&category_id=340;Hold infinity in the palm of your hand
30;Transistor Coaster PCB;27;left;Hardware;Tampa, FL;;Jeremy Cook;['https://techadjacent.io/', 'https://jeremyscook.com/'];https://www.kickstarter.com/projects/291892408/transistor-pcb-coasters?ref=discovery_category_newest&total_hits=335&category_id=52;NPN and PNP Transistor symbols with info on coasters made from printed circuit boards
31;ImprvHealth: A Smart Fitness App Built by a Strength Coach;53;left;Apps;Atlanta, GA;;Jonathan Ben Newell;[];https://www.kickstarter.com/projects/imprvhealth/imprvhealth-a-smart-fitness-app-built-by-a-strength-coach?ref=discovery_category_newest&total_hits=335&category_id=332;A Machine Learning-powered fitness app built by a strength coach & software engineer to personalize workouts using real science.
32;Feco- The Footprint Economy;49;left;Web;Vienna, Austria;;Albert and Simeon;['https://www.earthrefocusinstitute.com/'];https://www.kickstarter.com/projects/albertandsimeon/feco-the-footprint-economy?ref=discovery_category_newest&total_hits=335&category_id=342;Where people participate in creators’ projects and track the measurable impact of their contributions.
33;USB Cable Checker3: The Bestseller USB-Cable Tester Evolved!;28;left;Gadgets;Tokyo, Japan;;Bit Trade One;['http://bit-trade-one.co.jp/'];https://www.kickstarter.com/projects/bittradeone/usb-cable-checker3-the-bestseller-usb-cable-tester-evolved?ref=discovery_category_newest&total_hits=335&category_id=337;USBCableChecker2 Returns Smaller, Simpler, and More Powerful Than Ever! You can check not only cables but also USB ports!
34;Flip Pick: The One Pick to Rule Them All! - Pre Order NOW!;27;left;Gadgets;Tallahassee, FL;;Tim Roufa;['https://www.pfvinnovations.com/flippick', 'https://www.flippickplectrums.com/'];https://www.kickstarter.com/projects/pfvinnovations/flip-pick-the-one-pick-to-rule-them-all?ref=discovery_category_newest&total_hits=335&category_id=337;Patent-pending, unique guitar pick/ring hybrid lets you instantly change playing styles without breaking stride.
35;Total Revive: Redefining Menstrual Wellness with Nature;27;left;Apps;Houston, TX;;Ronald Santiago;['https://www.total-revive.com/'];https://www.kickstarter.com/projects/totalrevive/total-revive-redefining-menstrual-wellness-with-nature?ref=discovery_category_newest&total_hits=335&category_id=332;Empowering women with natural, cycle-specific gummies, teas, and skincare tailored to every phase of the menstrual cycle
