serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
103;Let's Get Rolling;Ended;113%;Fabrication Tools;Pottstown, PA;October 28, 2015;T1 Trust;['http://prrt1steamlocomotivetrust.org/index.php'];https://www.kickstarter.com/projects/t1trust/lets-get-rolling;As construction of a new mainline steam locomotive continues, your help is needed to start the next phase rolling.
104;Macro and Micro Lens Maker - For Smartphones and Tablets;Ended;104%;Fabrication Tools;Canberra, AU;August 20, 2015;Kenny Cen, Rachel Watkins, David Wright;['https://www.facebook.com/skopeinaustralia', 'http://leenewt3.wix.com/aomlab/'];https://www.kickstarter.com/projects/84736294/diy-lens-maker-for-smartphones;Allows anyone to make high quality lenses in any environment. The lens maker is designed to be simple, reusable and repeatable.
105;Plot, Airbrush, Laser, Dispense. Tooli the creative CNC tool;Ended;103%;Fabrication Tools;Brisbane, AU;June 25, 2016;Troy Cundy;['http://toolbotics.com/'];https://www.kickstarter.com/projects/735824118/plot-airbrush-laser-dispense-tooli-the-creative-cn;An intelligent and versatile creative desktop tool for artists and makers. Plot, Airbrush, Laser and Dispense.
106;Pocket NC - The first 5 axis CNC mill for your desktop.;Ended;508%;Fabrication Tools;Bozeman, MT;March 31, 2016;Pocket NC;['http://www.pocketnc.com/'];https://www.kickstarter.com/projects/1090944145/pocket-nc-the-first-5-axis-cnc-mill-for-your-deskt;Pocket NC - The first 5 axis CNC mill for your desktop.
107;Kevo Vacuum Former;Ended;915%;Fabrication Tools;Kansas City, MO;April 9, 2016;Creation Hardware;['http://creationhardware.com/', 'https://twitter.com/creationHW'];https://www.kickstarter.com/projects/1647435193/kevo-vacuum-former;The easy, fun and affordable way to craft objects and creations in your home or studio through the accessible art of vacuum forming.
108;3D Printing Toolkit - Meshmixer  3D CAD - Full Online Course;Ended;176%;Fabrication Tools;San Francisco, CA;September 3, 2015;Nick & Liza Kloski of HoneyPoint3D;['http://www.honeypoint3d.com/', 'https://www.youtube.com/watch?v=Y-ajKWzpg4Y', 'http://inthefold.autodesk.com/in_the_fold/2015/04/honeypoint3d-teaches-3d-printing-workshops-to-consumers-with-help-from-autodesk-fusion-360.html', 'https://www.youtube.com/watch?v=plKYr6gXTGc&feature=youtu.be'];https://www.kickstarter.com/projects/1727665673/3d-printing-toolkit-meshmixer-3d-cad-full-online-c;"Expert tutorials on Autodesk's FREE ""Easy-To-Use"" Meshmixer software: 20+ Hrs, Mini Kid's Course,140+ Total Videos, 80+ Tools Explained"
109;Routakit;Ended;245%;Fabrication Tools;South Florida, FL;July 9, 2015;Louis Vissepo;['http://www.routakit.com/', 'http://www.kicktraq.com/projects/lumacco/routakit-m-the-next-level-in-desktop-cnc-performan/'];https://www.kickstarter.com/projects/lumacco/routakit;For CNC enthusiasts seeking affordability AND performance driven open source CNC machines.
110;Stepcraft 2: Universal Desktop CNC / 3D Printer / Laser;Ended;1459%;Fabrication Tools;Torrington, CT;December 16, 2015;Stepcraft Inc.;['http://www.stepcraft.us/'];https://www.kickstarter.com/projects/stepcraft2/stepcraft-2-universal-desktop-cnc-3d-printer-for-e;Stepcraft universal desktop CNC solution. Turn your ideas into reality - CNC milling, 3D Printing, Laser Cut/Engraving and much more!
111;Bicycle Disc Brake Jig Fixture INCEPI.net;Ended;281%;Fabrication Tools;Ottawa, Canada;June 13, 2015;Eric Meinert;['http://www.incepi.net/', 'https://www.instagram.com/incepibicycle/', 'https://www.facebook.com/incepi/?ref=hl'];https://www.kickstarter.com/projects/4608648/bicycle-disc-brake-fixture;A Universal jig for bicycle frame builders. One tool for attaching ISO disc brake tabs to bicycle frames AND forks!
112;BoXZY Rapid-Change FabLab: Mill, Laser Engraver, 3D Printer;Ended;2387%;Fabrication Tools;Pittsburgh, PA;August 17, 2017;Justin and Joel Johnson;['http://boxzy.com/'];https://www.kickstarter.com/projects/boxzy/boxzy-rapid-change-fablab-mill-laser-engraver-3d-p;Rapidly transforms into 3 kinds of machines: CNC Mill, 3D Printer & Laser Engraver while enhancing precision & power with ballscrews
113;CNC Piranha Fx - Make Anything;Ended;244%;Fabrication Tools;Holland, OH;September 5, 2015;Tim Owens;['http://www.nextwaveautomation.com/'];https://www.kickstarter.com/projects/1718930271/cnc-piranha-fx-make-anything;Piranha Fx is the Make Anything machine: carve, laser engrave and 3D print - all with one easy-to-use machine and user interface.
114;CNC 3D foam cube - the usb controlled foamcutter DIY kit;Ended;145%;Fabrication Tools;Tilburg, Netherlands;July 10, 2015;team Fablab013;['http://fablab013.nl/', 'http://facebook.com/fablab013', 'http://foamcuttingcube.com/', 'http://lasergraaf.nl/'];https://www.kickstarter.com/projects/fablab013-foamcube/cnc-foam-cube-the-usb-controlled-foamcutter-diy-ki;3D foam cutter for makerspaces   fully automatic 4 axis CNC in an  easy DIY kit. Also builds moulds and models at same time.
115;Laser Ink;Ended;139%;Fabrication Tools;Reno, NV;July 31, 2017;Nicholas Williams;['http://www.objectworks.co/', 'http://www.shapeoko.com/blog/archives/1433'];https://www.kickstarter.com/projects/1923304356/laser-ink;Solid State Laser attachment to fit Shapeoko 2 CNC. Provides Laser cutting and engraving. Software support for photos.
116;Carvey: The 3D carving machine for the maker in all of us;Ended;1253%;Fabrication Tools;Chicago, IL;January 19, 2016;Inventables;['https://www.inventables.com/', 'http://www.easel.com/', 'https://twitter.com/inventables'];https://www.kickstarter.com/projects/carvey/carvey-the-3d-carving-machine-for-the-maker-in-all;Carvey is a new, remarkably easy to use, tabletop 3D carving machine for making ideas into real objects. Make your mark.
117;Dowel Pin Guide for Precision Assembly;Ended;108%;Fabrication Tools;Wrightwood, CA;March 11, 2015;The Inventors ARK LLC;['http://www.theinventorsark.com/'];https://www.kickstarter.com/projects/2055151264/dowel-pin-guide-for-precision-assembly;An easy to use precision assembly dowel pin guide that protects your parts and your hands!
118;UNIBURR Tool Bit;Ended;128%;Fabrication Tools;Coeur D'Alene, ID;August 21, 2015;Chad Von Lind;['http://craftandlore.com/', 'http://instagram.com/craftnlore', 'https://facebook.com/craftnlore'];https://www.kickstarter.com/projects/chadvonlind/uniburr-tool-bit;The UNIBURR is a deburring tool bit that quickly repairs damaged bolts to thread nuts in place once more, saving you time and money.
119;Circle Guides for Cutting and Drilling;Ended;112%;Fabrication Tools;Sacramento, CA;January 20, 2015;Circle Perfect Tools;['http://www.circleperfecttools.com/', 'https://www.facebook.com/circleperfecttools', 'http://www.pinterest.com/circletools/', 'https://plus.google.com/+Circleperfecttools2013', 'https://twitter.com/CircleTools'];https://www.kickstarter.com/projects/circleperecttools/circle-guides-for-cutting-and-drilling;Innovative circle guides for woodworkers, hobbyists, and machinists who need to cut and drill precise circular patterns.
120;5AXISMAKER: First ever affordable 5axis multi-fabricator;Ended;116%;Fabrication Tools;London, UK;January 14, 2018;5AXISWORKS;['http://5axismaker.com/', 'https://www.instagram.com/5axismaker/'];https://www.kickstarter.com/projects/2003668803/5axismaker-first-ever-affordable-5axis-multi-fabri;First ever affordable 5axis multi-fabricator that brings most advanced fabrication right to your desk
121;Squink - the personal electronic circuit factory;Ended;100%;Fabrication Tools;Brooklyn, NY;September 17, 2015;BotFactory;['http://www.botfactory.co/', 'https://twitter.com/BotFactoryNYC'];https://www.kickstarter.com/projects/botfactory/squink-the-personal-electronic-circuit-factory;Create circuit boards in minutes, from home, at the cost of a cup of coffee - Squink prints conductive ink and assembles your circuit.
122;The Creation Station Open Source CNC Router;Ended;189%;Fabrication Tools;Buffalo, NY;December 19, 2015;Innovation Squared LLC;['http://www.creationstationcnc.com/'];https://www.kickstarter.com/projects/1417197574/the-creation-station-open-source-cnc-router;The Creation Station is a high performance, low cost CNC router designed for the maker, hobbyist, artist or educator.
123;CNC xPRO Driver;Ended;133%;Fabrication Tools;Dayton, OH;October 31, 2014;Spark Concepts LLC;['http://www.spark-concepts.com/'];https://www.kickstarter.com/projects/484774463/cnc-xpro-driver;A new way to CNC - single board with 4 powerful motor drivers, power from ATX PSU, and... wait for it... integrated wireless comms!
124;The MicroSlice | A Mini Arduino Laser Cutter & Engraver.;Ended;318%;Fabrication Tools;Derby, UK;February 4, 2025;Gregory L Holloway;[];https://www.kickstarter.com/projects/gregoryholloway/the-microslice-a-mini-arduino-laser-cutter-and-eng;The MicroSlice is a Build-It-Yourself kit, uses Open Source Software, and can be easily assembled at home by just about anyone.
125;Handibot™: A Smart Digital Power Tool;Ended;280%;Fabrication Tools;Durham, NC;July 5, 2014;ShopBot Tools;['http://www.handibot.com/', 'http://www.shopbottools.com/', 'http://www.100kgarages.com/', 'http://www.100kschools.com/', 'http://www.vectric.com/'];https://www.kickstarter.com/projects/1320575205/handibottm-a-smart-digital-power-tool;An innovative, portable tool run from apps on smartphones, tablets or PCs. Push-button CNC technology for jobsites and DIY projects!
126;ViKi LCD - A sleek LCD control interface for your 3D printer;Ended;278%;Fabrication Tools;Irvine, CA;March 14, 2013;Roy Cortes;['http://www.panucatt.com/'];https://www.kickstarter.com/projects/1245051645/viki-lcd-a-sleek-lcd-control-interface-for-your-3d;Sleek and versatile LCD Control interface for your 3D printer / CNC and micro controller projects. Lots of nav functions and LEDs.
127;Student Operated Fabrication Lab;Ended;100%;Fabrication Tools;Columbus, OH;October 10, 2012;PAST Foundation;['http://www.themetroschool.org/', 'http://www.pastfoundation.org/'];https://www.kickstarter.com/projects/90895326/student-operated-fabrication-lab;Completing this Lab will allow students across the country the access to technology bringing their computer created designs to life.
128;Kikori Open Source CNC Gantry Router;Ended;108%;Fabrication Tools;Somerville, MA;August 5, 2013;Judah Sher;['http://sindrianarts.com/', 'http://www.facebook.com/sindrianarts', 'http://twitter.com/sindrianarts'];https://www.kickstarter.com/projects/1738994529/kikori-open-source-cnc-gantry-router;The kikori is an open source entry-level machine for small businesses.  My main goal is to stimulate local manufacturing and design.
129;Project ShapeOko: a $300 complete cnc machine.;Ended;739%;Fabrication Tools;Dixon, IL;December 7, 2011;Edward Ford;['http://www.shapeoko.com/', 'http://www.thefordslife.com/', 'http://twitter.com/#!/shapeoko'];https://www.kickstarter.com/projects/edwardrford/project-shapeoko-a-300-complete-cnc-machine;ShapeOko is a dead simple Open-Source desktop CNC machine with an estimate build price of about $300. Get into CNC without going broke!
130;DIYLILCNC 2.0 - Open-source plans for a low-cost CNC mill.;Ended;106%;Fabrication Tools;Chicago, IL;August 16, 2012;DIYLILCNC;['http://chris-reilly.org/', 'http://diylilcnc.org/', 'http://rainbowlazer.com/', 'http://www.taylorhokanson.com/'];https://www.kickstarter.com/projects/chrisreilly/diylilcnc-20-open-source-plans-for-a-low-cost-cnc;We're preparing to release version 2.0 of our free, open-source plans for a robotic cutting machine that you can build yourself.
131;Arduino Powered Stepper Motor Board;Ended;3370%;Fabrication Tools;Lincoln, NE;June 3, 2012;John Chapman;[];https://www.kickstarter.com/projects/csshop/arduino-powered-stepper-motor-board;This board is perfect for any robotics project that needs stepper motors like a DIY CNC, laser engraver, or 3D printer.
