serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
47;Nano: spot welding just got easy and affordable;Ended;670%;Fabrication Tools;Ottawa, Canada;March 15, 2022;RePowered Batteries;['https://www.repoweredbatteries.ca/', 'https://www.battery.market/'];https://www.kickstarter.com/projects/repowered/nano-spot-welding-just-got-easy-and-affordable;Cordless, 18650 powered, fuse wire welder, active cooling, hacker friendly, and more! Check out our video https://youtu.be/xMgPlQ8VaUY
48;CNC ONE: Easy, Powerful & Fast Milling;Ended;532%;Fabrication Tools;Munich, Germany;October 7, 2022;CNC ONE;['https://www.instagram.com/cnc.one.machines/', 'https://www.youtube.com/channel/UCGfHftAghHr4u8RDJoMhyXg'];https://www.kickstarter.com/projects/cnc-one/cnc-one-kickstarters-easiest-and-most-powerful-cnc-ever;Bring Your Ideas To Life With CNC ONE - mill metal, wood and other materials
49;1/4 Series Clamp | Impact-Rated. Modular. Single-Handed.;Ended;341%;Fabrication Tools;Milford, CT;February 2, 2021;Dimide Clamps;['https://dimide.com/pages/1-4-series-clamp-coming-soon'];https://www.kickstarter.com/projects/dimideclamps/dimide-1-4-series-clamp-impact-compability-and-modular-clamp;Clamp 10X Faster while effortlessly delivering 1,700 lbs of clamp force on any job with the new DIMIDE 1/4 Series Clamp!
50;Cubiio 2: Laser Cutter & Metal Engraver with Autofocus;Ended;7417%;Fabrication Tools;Taipei City, Taiwan;April 2, 2023;Muherz;['http://cubiio.muherz.com/'];https://www.kickstarter.com/projects/cubiio/cubiio-2-laser-cutter-and-metal-engraver-with-autofocus;Compact and Versatile. Make Your Creativity a Reality.
51;Arno goes CNC: A milling machine for the ages;Ended;108%;Fabrication Tools;Marstal, Denmark;December 18, 2021;Motorfabrikken Marstal;['https://www.motorfabrikkenmarstal.com/'];https://www.kickstarter.com/projects/motorfabrikken/arno-goes-cnc-a-milling-machine-for-the-ages;Help rebuild an ARNO milling machine  from the 1950's to CNC-control / Hjælp med at ombygge en ARNOfræser fra 1950'erne til CNC-styring
52;The WangerFlange: A new way to build.;Ended;168%;Fabrication Tools;Cumbria, UK;February 10, 2020;Paul Robinson;['https://wangerflange.com/', 'http://geo-dome.co.uk/'];https://www.kickstarter.com/projects/wangerflange/the-wangerflange-a-new-way-to-build;A flange for connecting sticks or tube so you can build stuff
53;beamo: Powerful Laser Cutter Made Compact and Simple;Ended;1831%;Fabrication Tools;Taipei City, Taiwan;June 8, 2020;FLUX Technology LLC;['http://flux3dp.com/'];https://www.kickstarter.com/projects/flux-inc/beamo-worlds-smallest-co2-laser-cutter;Bring ideas to life with beamo, the small, simple and affordable laser cutter that gives you the power to make something you'll love.
54;MillRight CNC Mega V Router and Plasma System;Ended;397%;Fabrication Tools;Dawson, GA;March 23, 2020;MillRight CNC;['https://www.millrightcnc.com/'];https://www.kickstarter.com/projects/millrightcnc/millright-cnc-mega-v-router-and-plasma-system;This is the next level of affordable, high performance CNC.  The Mega V comes as a CNC router, plasma table, or hybrid.
55;Scalpel Jones 2 Redux. A Titanium Scalpel, Made in the USA.;Ended;725%;Fabrication Tools;Hopatcong, NJ;April 21, 2020;Jackson Knife and Tool;['https://www.instagram.com/jacksonknifeandtool/'];https://www.kickstarter.com/projects/2122739158/scalpel-jones-2-redux-a-titanium-scalpel-made-in-the-usa;An updated version of my Scalpel Jones design with a textured grip, also available in the classic untextured version.
56;LongMill Benchtop CNC Router;Ended;727%;Fabrication Tools;Kitchener, Canada;December 18, 2019;Sienci Labs;['http://www.sienci.com/', 'https://twitter.com/SienciLabs', 'https://www.facebook.com/siencilabs/'];https://www.kickstarter.com/projects/sienci/longmill-benchtop-cnc-router;The LongMill brings the power of CNC milling to the maker, hobbyist, woodworker, and craftsman
